Time(s), CPU%, Memory(MB)
1750802830.894707, 0.1, 55.734375
1750802831.900613, 0.1, 55.734375
1750802832.9038851, 0.1, 55.734375
1750802833.912719, 0.1, 55.734375
1750802834.915522, 0.1, 55.734375
1750802835.9207911, 0.1, 55.734375
1750802836.950507, 0.1, 55.734375
1750802837.960865, 0.1, 55.734375
1750802838.9682372, 0.1, 55.734375
1750802839.972963, 0.0, 55.734375
1750802840.980611, 0.1, 55.734375
1750802841.98466, 0.1, 55.734375
1750802842.99134, 0.1, 55.734375
1750802843.996489, 0.1, 55.734375
1750802845.00367, 0.1, 55.734375
1750802846.0120509, 0.2, 55.734375
1750802847.0193422, 0.1, 55.734375
1750802848.026714, 0.1, 55.734375
1750802849.032942, 0.1, 55.734375
1750802850.042479, 0.1, 55.734375
1750802851.046732, 0.1, 55.734375
1750802852.050518, 0.1, 55.734375
1750802853.053805, 0.1, 55.734375
1750802854.057395, 0.1, 55.734375
1750802855.0621068, 0.1, 55.734375
1750802856.064728, 0.1, 55.734375
1750802857.068471, 0.1, 55.734375
1750802858.073735, 0.1, 55.734375
1750802859.076467, 0.1, 55.734375
1750802860.0822349, 0.2, 55.734375
1750802861.0891268, 0.1, 55.734375
1750802862.0943182, 0.1, 55.734375
1750802863.098287, 0.1, 55.734375
1750802864.103065, 0.1, 55.734375
1750802865.111789, 0.1, 55.734375
1750802866.118449, 0.1, 55.734375
1750802867.125469, 0.1, 55.734375
1750802868.1354098, 0.1, 55.734375
1750802869.1489532, 0.1, 55.734375
1750802870.15609, 0.1, 55.734375
1750802871.16358, 0.1, 55.734375
1750802872.168253, 0.1, 55.734375
1750802873.175106, 0.1, 55.734375
1750802874.179683, 0.1, 55.734375
1750802875.188473, 0.1, 55.734375
1750802876.19622, 0.2, 55.734375
1750802877.202632, 0.1, 55.734375
1750802878.2064981, 0.1, 55.734375
1750802879.211808, 0.1, 55.734375
1750802880.22526, 0.1, 55.734375
1750802881.230557, 0.1, 55.734375
1750802882.237346, 0.1, 55.734375
1750802883.245661, 0.1, 55.734375
1750802884.254426, 0.1, 55.734375
1750802885.262392, 0.1, 55.734375
1750802886.269652, 0.1, 55.734375
1750802887.27409, 0.1, 55.734375
1750802888.284683, 0.2, 55.75
1750802889.29339, 0.1, 55.734375
1750802890.3096058, 0.1, 55.734375
1750802891.3179939, 0.1, 55.75
1750802892.324689, 0.1, 55.75
1750802893.331666, 0.1, 55.734375
1750802894.3344362, 0.1, 55.734375
1750802895.345868, 0.1, 55.734375
1750802896.348592, 0.1, 55.734375
1750802897.352428, 0.1, 55.734375
1750802898.360685, 0.1, 55.734375
1750802899.3688698, 0.1, 55.734375
1750802900.37245, 0.1, 55.734375
1750802901.386354, 0.1, 55.734375
1750802902.3919702, 0.1, 55.734375
1750802903.403507, 0.1, 55.734375
1750802904.40919, 0.1, 55.734375
1750802905.4169228, 0.1, 55.734375
1750802906.4201002, 0.1, 55.734375
1750802907.4252028, 0.1, 55.734375
1750802908.432087, 0.1, 55.734375
1750802909.44363, 0.1, 55.734375
1750802910.452194, 0.1, 55.734375
1750802911.456701, 0.1, 55.734375
1750802912.46891, 0.1, 55.734375
1750802913.481767, 0.1, 55.734375
1750802914.487935, 0.1, 55.734375
1750802915.496802, 0.1, 55.734375
1750802916.5009978, 0.1, 55.734375
1750802917.504426, 0.1, 55.734375
1750802918.5121999, 0.1, 55.734375
1750802919.51875, 0.1, 55.734375
1750802920.52756, 0.1, 55.734375
1750802921.5380569, 0.2, 55.734375
1750802922.5410008, 0.1, 55.734375
1750802923.5445728, 0.1, 55.734375
1750802924.548477, 0.1, 55.734375
1750802925.551959, 0.1, 55.734375
1750802926.556155, 0.1, 55.734375
1750802927.563275, 0.1, 55.734375
1750802928.570184, 0.1, 55.734375
1750802929.573927, 0.1, 55.734375
1750802930.583738, 0.1, 55.734375
1750802931.5912619, 0.2, 55.734375
1750802932.597853, 0.1, 55.734375
1750802933.605709, 0.1, 55.734375
1750802934.6140318, 0.1, 55.734375
1750802935.618391, 0.1, 55.734375
1750802936.622873, 0.1, 55.734375
1750802937.6312928, 0.1, 55.734375
1750802938.634558, 0.1, 55.734375
1750802939.6405802, 0.1, 55.734375
1750802940.648772, 0.1, 55.734375
1750802941.652123, 0.1, 55.734375
1750802942.661342, 0.1, 55.734375
1750802943.667424, 0.3, 55.734375
1750802944.680625, 0.1, 55.734375
1750802945.684244, 0.1, 55.734375
1750802946.6891499, 0.1, 55.734375
1750802947.696257, 0.1, 55.734375
1750802948.700686, 0.1, 55.734375
1750802949.704167, 0.1, 55.734375
1750802950.711641, 0.1, 55.734375
1750802951.716504, 0.1, 55.734375
1750802952.724142, 0.1, 55.734375
1750802953.731292, 0.2, 55.734375
1750802954.736444, 0.1, 55.734375
1750802955.7431219, 0.2, 55.734375
1750802956.753186, 0.1, 55.734375
1750802957.7575629, 0.1, 55.734375
1750802958.76175, 0.1, 55.734375
1750802959.7719061, 0.1, 55.734375
1750802960.7819111, 0.1, 55.734375
1750802961.784626, 0.1, 55.734375
1750802962.789122, 0.1, 55.734375
1750802963.7966459, 0.1, 55.734375
1750802964.80476, 0.1, 55.734375
1750802965.807075, 0.1, 55.734375
1750802966.811462, 0.1, 55.734375
1750802967.817621, 0.1, 55.734375
1750802968.821759, 0.1, 55.734375
1750802969.827214, 0.1, 55.734375
1750802970.851605, 0.1, 55.734375
1750802971.8609622, 0.2, 55.734375
1750802972.873226, 0.2, 55.734375
1750802973.878881, 0.1, 55.734375
1750802974.8904262, 0.2, 55.75
1750802975.895734, 0.1, 55.734375
1750802976.9080262, 0.2, 55.734375
1750802977.9135091, 0.1, 55.734375
1750802978.918792, 0.1, 55.734375
1750802979.9256299, 0.1, 55.734375
1750802980.929251, 0.1, 55.734375
1750802981.934016, 0.1, 55.734375
1750802982.943111, 0.1, 55.71875
1750802983.9853818, 0.1, 55.71875
1750802984.9894688, 0.1, 55.71875
1750802985.993718, 0.1, 55.71875
1750802987.002928, 0.1, 55.71875
1750802988.0067441, 0.1, 55.71875
1750802989.0136478, 0.1, 55.71875
1750802990.019974, 0.2, 55.71875
1750802991.023891, 0.1, 55.71875
1750802992.030891, 0.1, 55.71875
1750802993.035402, 0.0, 55.71875
1750802994.0436091, 0.1, 55.71875
1750802995.0503838, 0.1, 55.71875
1750802996.055184, 0.1, 55.71875
1750802997.065547, 0.1, 55.71875
1750802998.072503, 0.1, 55.71875
1750802999.0757592, 0.1, 55.71875
1750803000.0830112, 0.1, 55.71875
1750803001.094931, 0.1, 55.71875
1750803002.099725, 0.1, 55.71875
1750803003.107869, 0.1, 55.71875
1750803004.118025, 0.1, 55.71875
1750803005.12649, 0.1, 55.71875
1750803006.140485, 0.1, 55.71875
1750803007.1446888, 0.1, 55.71875
1750803008.15078, 0.1, 55.71875
1750803009.157763, 0.1, 55.734375
1750803010.164163, 0.1, 55.71875
1750803011.1675231, 0.1, 55.71875
1750803012.177967, 0.1, 55.71875
1750803013.18692, 0.1, 55.71875
1750803014.192118, 0.1, 55.71875
1750803015.19728, 0.1, 55.71875
1750803016.20318, 0.1, 55.71875
1750803017.21031, 0.1, 55.71875
1750803018.221483, 0.1, 55.71875
1750803019.225415, 0.1, 55.71875
1750803020.2291882, 0.1, 55.71875
1750803021.233283, 0.1, 55.71875
1750803022.237221, 0.1, 55.71875
1750803023.240788, 0.1, 55.71875
1750803024.246, 0.1, 55.71875
1750803025.249971, 0.1, 55.71875
1750803026.255984, 0.1, 55.71875
1750803027.263815, 0.1, 55.71875
1750803028.2690969, 0.1, 55.71875
1750803029.273644, 0.1, 55.71875
1750803030.283777, 0.1, 55.71875
1750803031.291081, 0.1, 55.71875
1750803032.296344, 0.1, 55.71875
1750803033.300343, 0.1, 55.71875
1750803034.305424, 0.1, 55.71875
1750803035.309408, 0.1, 55.71875
1750803036.316242, 0.1, 55.71875
1750803037.322506, 0.1, 55.71875
1750803038.329431, 0.1, 55.71875
1750803039.338888, 0.1, 55.71875
1750803040.341459, 0.1, 55.71875
1750803041.3460228, 0.1, 55.71875
1750803042.35043, 0.1, 55.71875
1750803043.357109, 0.1, 55.71875
1750803044.3655539, 0.1, 55.71875
1750803045.369826, 0.1, 55.71875
1750803046.37374, 0.1, 55.71875
1750803047.378276, 0.1, 55.71875
1750803048.383025, 0.1, 55.71875
1750803049.387069, 0.1, 55.71875
1750803050.396553, 0.1, 55.71875
1750803051.401815, 0.1, 55.71875
1750803052.406624, 0.1, 55.71875
1750803053.409894, 0.1, 55.71875
1750803054.413716, 0.1, 55.71875
1750803055.416565, 0.1, 55.71875
1750803056.426543, 0.1, 55.71875
1750803057.4315012, 0.1, 55.71875
1750803058.4368372, 0.1, 55.71875
1750803059.4392629, 0.1, 55.71875
1750803060.447562, 0.2, 55.71875
1750803061.4516659, 0.1, 55.71875
1750803062.460122, 0.1, 55.71875
1750803063.46437, 0.1, 55.71875
1750803064.468821, 0.1, 55.71875
1750803065.473408, 0.1, 55.71875
1750803066.477569, 0.1, 55.71875
1750803067.484614, 0.1, 55.71875
1750803068.492688, 0.1, 55.71875
1750803069.5007439, 0.1, 55.71875
1750803070.5068958, 0.1, 55.71875
1750803071.511563, 0.1, 55.71875
1750803072.517879, 0.1, 55.71875
1750803073.521533, 0.1, 55.71875
1750803074.5249221, 0.1, 55.71875
1750803075.5348868, 0.1, 55.71875
1750803076.541858, 0.1, 55.71875
1750803077.546178, 0.1, 55.71875
1750803078.553657, 0.1, 55.71875
1750803079.562101, 0.1, 55.71875
1750803080.572941, 0.1, 55.71875
1750803081.57835, 0.1, 55.71875
1750803082.5852082, 0.1, 55.71875
1750803083.588048, 0.1, 55.71875
1750803084.590206, 0.0, 55.71875
1750803085.594589, 0.1, 55.71875
1750803086.6002948, 0.1, 55.71875
1750803087.604359, 0.1, 55.71875
1750803088.609759, 0.1, 55.71875
1750803089.6151638, 0.1, 55.71875
1750803090.621401, 0.1, 55.71875
1750803091.628403, 0.1, 55.71875
1750803092.635085, 0.1, 55.71875
1750803093.639338, 0.1, 55.71875
1750803094.643357, 0.1, 55.71875
