Time(s), CPU%, Memory(MB)
1750388655.612711, 0.1, 1082.03125
1750388656.613528, 0.0, 1024.5
1750388657.618495, 0.0, 977.09375
1750388658.623466, 0.0, 977.09375
1750388659.628451, 0.0, 977.09375
1750388660.6334321, 0.0, 977.09375
1750388661.6384041, 0.0, 977.09375
1750388662.643372, 0.0, 977.09375
1750388663.648373, 0.0, 977.09375
1750388664.653383, 0.0, 977.09375
1750388665.659071, 0.0, 977.09375
1750388666.6641228, 0.0, 977.09375
1750388667.667871, 0.0, 977.09375
1750388668.672897, 0.0, 977.09375
1750388669.673991, 0.0, 975.703125
1750388670.679033, 0.0, 975.703125
1750388671.684064, 0.0, 972.28125
1750388672.6893241, 0.0, 972.21875
1750388673.694355, 0.0, 972.109375
1750388674.699373, 0.0, 969.046875
1750388675.7043881, 0.0, 968.953125
1750388676.709426, 0.0, 968.953125
1750388677.7144718, 0.0, 968.953125
1750388678.7195761, 0.0, 754.921875
1750388679.724758, 0.0, 753.390625
1750388680.728318, 0.0, 753.390625
1750388681.733551, 0.0, 753.390625
1750388682.755462, 0.0, 753.390625
1750388683.760821, 0.0, 753.390625
1750388684.771979, 0.0, 753.390625
1750388685.778249, 0.0, 753.390625
1750388686.784758, 0.0, 750.75
1750388687.790577, 0.0, 742.140625
1750388688.7958138, 0.0, 741.9375
1750388689.7995389, 0.0, 741.9375
1750388690.803683, 0.0, 741.96875
1750388691.806447, 0.0, 741.96875
1750388692.813616, 0.0, 741.96875
1750388693.825997, 0.0, 741.96875
1750388694.833558, 0.0, 741.96875
1750388695.8409832, 0.0, 741.96875
1750388696.846105, 0.0, 741.96875
1750388697.85122, 0.0, 741.96875
1750388698.856433, 0.0, 742.046875
1750388699.863502, 0.0, 742.046875
1750388700.8687491, 0.0, 742.046875
1750388701.875485, 0.0, 742.046875
1750388702.8805382, 0.0, 742.046875
1750388703.885161, 0.0, 742.046875
1750388704.8905542, 0.0, 742.046875
1750388705.895776, 0.0, 742.046875
1750388706.900654, 0.0, 742.078125
1750388707.906066, 0.0, 742.078125
1750388708.911437, 0.0, 742.078125
1750388709.914665, 0.0, 742.078125
1750388710.921922, 0.0, 742.078125
1750388711.927778, 0.0, 742.078125
1750388712.933022, 0.0, 742.078125
1750388713.938303, 0.0, 742.078125
1750388714.9462578, 0.0, 742.078125
1750388715.9548469, 0.0, 742.078125
1750388716.962071, 0.0, 742.078125
1750388717.9730601, 0.0, 742.078125
1750388718.978464, 0.0, 742.078125
1750388719.981882, 0.0, 742.078125
1750388720.986233, 0.0, 742.078125
1750388721.98737, 0.0, 742.078125
1750388722.992848, 0.0, 742.203125
1750388724.001653, 0.0, 742.203125
1750388725.008607, 0.0, 742.203125
1750388726.0151281, 0.0, 742.203125
1750388727.022184, 0.0, 742.203125
1750388728.0273721, 0.0, 742.203125
1750388729.028246, 0.0, 742.203125
1750388730.034699, 0.0, 742.203125
1750388731.0400488, 0.0, 742.203125
1750388732.050646, 0.0, 742.203125
1750388733.055876, 0.0, 742.203125
