Time(s), CPU%, Memory(MB)
1750375945.313527, 0.1, 482.890625
1750375946.3187032, 0.0, 482.890625
1750375947.321707, 0.0, 482.890625
1750375948.326823, 0.0, 482.890625
1750375949.331939, 0.0, 482.890625
1750375950.3330061, 0.0, 482.890625
1750375951.338125, 0.0, 467.578125
1750375952.351879, 0.0, 463.734375
1750375953.3551202, 0.0, 463.734375
1750375954.362114, 0.0, 453.890625
1750375955.3652768, 0.0, 453.890625
1750375956.374804, 0.0, 453.890625
1750375957.380061, 0.0, 453.890625
1750375958.38274, 0.0, 453.890625
1750375959.389361, 0.0, 453.890625
1750375960.40137, 0.0, 453.890625
1750375961.408235, 0.0, 453.890625
1750375962.4147468, 0.0, 453.890625
1750375963.418688, 0.0, 453.890625
1750375964.422255, 0.0, 453.890625
1750375965.42466, 0.0, 453.890625
1750375966.425685, 0.0, 453.890625
1750375967.437488, 0.0, 453.890625
1750375968.4499881, 0.0, 453.890625
1750375969.4552782, 0.0, 453.890625
1750375970.462064, 0.0, 453.890625
1750375971.467307, 0.0, 453.15625
1750375972.479563, 0.0, 453.15625
1750375973.4848158, 0.0, 453.15625
1750375974.490159, 0.0, 453.15625
1750375975.505079, 0.0, 453.15625
1750375976.517571, 0.0, 453.15625
1750375977.5220768, 0.0, 453.15625
1750375978.5258281, 0.0, 453.15625
1750375979.532146, 0.0, 453.15625
1750375980.54208, 0.0, 453.15625
1750375981.549508, 0.0, 453.15625
1750375982.551796, 0.0, 453.15625
1750375983.557757, 0.0, 453.15625
1750375984.561918, 0.0, 453.15625
1750375985.562349, 0.0, 453.15625
1750375986.5673778, 0.0, 453.15625
1750375987.58, 0.0, 453.15625
1750375988.5832582, 0.0, 453.15625
1750375989.5881448, 0.0, 453.15625
1750375990.591444, 0.0, 453.15625
1750375991.598849, 0.0, 453.15625
1750375992.615799, 0.0, 401.625
1750375993.656791, 0.0, 401.625
1750375994.662081, 0.0, 401.625
1750375995.6674, 0.0, 401.625
1750375996.672794, 0.0, 401.625
1750375997.677943, 0.0, 401.625
1750375998.6882591, 0.0, 401.625
1750375999.697827, 0.0, 401.625
1750376000.703337, 0.0, 401.625
1750376001.706512, 0.0, 401.625
1750376002.722465, 0.0, 401.625
1750376003.7231948, 0.0, 401.625
1750376004.7285042, 0.0, 401.625
1750376005.739979, 0.0, 401.625
1750376006.7489438, 0.0, 401.625
1750376007.7585611, 0.0, 401.625
1750376008.763823, 0.0, 401.625
1750376009.7694342, 0.0, 401.625
1750376010.7732532, 0.0, 401.625
1750376011.779299, 0.0, 401.625
1750376012.788898, 0.0, 401.625
1750376013.789911, 0.0, 401.625
1750376014.798387, 0.0, 401.625
1750376015.803185, 0.0, 401.625
1750376016.808427, 0.0, 401.625
1750376017.812006, 0.0, 401.625
1750376018.8172631, 0.0, 401.625
1750376019.825428, 0.0, 401.625
1750376020.838809, 0.0, 401.65625
1750376021.844212, 0.0, 401.65625
1750376022.851742, 0.0, 401.65625
1750376023.872725, 0.0, 401.65625
1750376024.885619, 0.0, 401.65625
1750376025.8908942, 0.0, 401.65625
1750376026.9058769, 0.0, 401.65625
1750376027.909652, 0.0, 401.65625
1750376028.91818, 0.0, 401.65625
1750376029.925353, 0.0, 401.65625
1750376030.931486, 0.0, 401.65625
